order_id;page_id;product;site_version;time;title;user
;3.0;company;mobile;2017-02-09 20:24:04;banner_show;user_0
;3699687.0;company;mobile;2017-02-07 10:03:07;banner_show;user_0
;14.0;sneakers;mobile;2017-01-29 13:02:23;banner_show;user_1
;10362176.0;company;mobile;2017-04-12 15:39:19;banner_show;user_1
;14.0;sneakers;mobile;2017-01-29 13:04:42;banner_click;user_1
;18.0;sneakers;desktop;2017-01-11 09:22:12;banner_show;user_2
;18.0;sneakers;desktop;2017-01-11 09:24:43;banner_click;user_2
;26.0;sneakers;desktop;2017-01-09 09:38:51;banner_show;user_3
;2004233.0;sports_nutrition;desktop;2017-01-09 09:12:45;banner_show;user_3
;6323332.0;company;desktop;2017-01-03 08:58:18;banner_show;user_3
;6323332.0;company;desktop;2017-01-03 08:59:15;banner_click;user_3
;33.0;sports_nutrition;mobile;2017-01-14 05:33:39;banner_show;user_4
;34.0;sneakers;mobile;2017-03-02 15:10:16;banner_show;user_5
;35.0;sneakers;desktop;2017-02-10 12:19:30;banner_show;user_6
;43.0;accessories;desktop;2017-02-06 05:21:08;banner_show;user_7
;3694671.0;clothes;desktop;2017-01-24 10:36:13;banner_show;user_7
;44.0;sneakers;mobile;2017-02-18 17:51:54;banner_show;user_8
;15187.0;sneakers;mobile;2017-02-19 06:40:37;banner_show;user_8
;17279.0;company;mobile;2017-03-03 19:05:49;banner_show;user_8
;1719526.0;sneakers;mobile;2017-02-22 18:24:26;banner_show;user_8
;1720568.0;sneakers;mobile;2017-02-26 19:35:28;banner_show;user_8
;1835221.0;sports_nutrition;mobile;2017-02-14 21:53:19;banner_show;user_8
;47.0;sports_nutrition;mobile;2017-02-04 03:17:15;banner_show;user_9
;191888.0;sneakers;mobile;2017-02-01 21:19:44;banner_show;user_9
;630812.0;clothes;mobile;2017-01-17 17:38:38;banner_show;user_9
;791121.0;clothes;mobile;2017-02-01 05:42:19;banner_show;user_9
;854512.0;sports_nutrition;mobile;2017-01-08 12:12:14;banner_show;user_9
;1054379.0;sneakers;mobile;2017-01-21 20:59:25;banner_show;user_9
;2070306.0;sports_nutrition;mobile;2017-02-05 08:21:30;banner_show;user_9
;2086342.0;sports_nutrition;mobile;2017-02-14 16:02:17;banner_show;user_9
;2895690.0;company;mobile;2017-01-06 16:03:39;banner_show;user_9
;12162659.0;sports_nutrition;mobile;2017-03-20 19:35:02;banner_show;user_9
;13456502.0;sneakers;mobile;2017-03-27 16:24:32;banner_show;user_9
;13934583.0;accessories;mobile;2017-03-09 09:23:59;banner_show;user_9
;19183597.0;sports_nutrition;mobile;2017-04-18 08:17:13;banner_show;user_9
;19942605.0;sneakers;mobile;2017-04-30 12:36:04;banner_show;user_9
;47.0;sports_nutrition;mobile;2017-02-04 03:18:45;banner_click;user_9
;1054379.0;sneakers;mobile;2017-01-21 21:00:42;banner_click;user_9
;12162659.0;sports_nutrition;mobile;2017-03-20 19:37:24;banner_click;user_9
;55.0;sports_nutrition;mobile;2017-02-13 22:53:57;banner_show;user_10
;12070924.0;company;mobile;2017-03-10 01:41:33;banner_show;user_10
;16989846.0;sports_nutrition;mobile;2017-02-27 20:25:01;banner_show;user_10
;57.0;company;desktop;2017-02-11 17:49:07;banner_show;user_11
;61.0;sports_nutrition;mobile;2017-01-17 15:36:48;banner_show;user_12
;61.0;sports_nutrition;mobile;2017-01-17 15:37:41;banner_click;user_12
;69.0;company;mobile;2017-02-15 06:10:15;banner_show;user_13
;74.0;clothes;mobile;2017-01-11 06:08:11;banner_show;user_14
;77.0;company;mobile;2017-01-02 14:50:08;banner_show;user_15
;6092042.0;clothes;mobile;2017-01-05 05:36:32;banner_show;user_15
;6092042.0;clothes;mobile;2017-01-05 05:38:28;banner_click;user_15
;80.0;accessories;mobile;2017-02-02 11:42:18;banner_show;user_16
;81.0;company;desktop;2017-02-16 12:17:26;banner_show;user_17
;84.0;sports_nutrition;desktop;2017-01-08 11:54:24;banner_show;user_18
;90.0;sports_nutrition;desktop;2017-02-27 01:19:55;banner_show;user_19
;103.0;company;desktop;2017-03-06 19:40:19;banner_show;user_19
;91.0;sneakers;mobile;2017-01-14 10:49:09;banner_show;user_20
;2379.0;sneakers;mobile;2017-01-12 11:04:56;banner_show;user_20
;55295.0;sneakers;mobile;2017-01-10 04:07:04;banner_show;user_20
;4987038.0;sneakers;mobile;2017-02-05 15:59:47;banner_show;user_20
